Classifier	Deconvolver	Calibrator	Feature Scheme	Labeling Scheme	Prior	R2	MAE	MSE	KL
Dismir	NNLS	Vec. scaling	Top 10%	Hard Labels	NA	96.41	4.74	2.98	30.78
Dismir	PSLS	None	Top 10%	Hard Labels	NA	95.52	4.46	3.72	29.92
Dismir	PSLS	Lin. clip+norm	Top 10%	Hard Labels	NA	95.86	4.61	3.43	11.94
Dismir	PSLS	Lin. simplex	Top 10%	Hard Labels	NA	96.34	4.13	3.04	11.16
Dismir	PSLS	Vec. scaling	Top 10%	Hard Labels	NA	95.13	5.35	4.04	14.21
MethylBERT	XGB	None	Top 10%	Hard Labels	NA	94.36	5.46	4.68	11.38
MethylBERT	XGB	Lin. clip+norm	Top 10%	Hard Labels	NA	95.38	4.79	3.84	10.96
MethylBERT	XGB	Lin. simplex	Top 10%	Hard Labels	NA	96.05	4.27	3.28	12.80
MethylBERT	XGB	Vec. scaling	Top 10%	Hard Labels	NA	96.31	4.87	3.07	7.81
MethylBERT	MLP	None	Top 10%	Hard Labels	NA	94.14	4.69	4.87	11.11
MethylBERT	MLP	Lin. clip+norm	Top 10%	Hard Labels	NA	94.98	4.49	4.17	12.48
MethylBERT	MLP	Lin. simplex	Top 10%	Hard Labels	NA	95.25	4.35	3.94	15.41
MethylBERT	MLP	Vec. scaling	Top 10%	Hard Labels	NA	95.05	4.48	4.10	9.74
MethylBERT	SWN	None	Top 10%	Hard Labels	NA	97.20	3.99	2.33	7.87
MethylBERT	SWN	Lin. clip+norm	Top 10%	Hard Labels	NA	97.68	3.83	1.92	9.28
MethylBERT	SWN	Lin. simplex	Top 10%	Hard Labels	NA	97.71	3.78	1.90	12.34
MethylBERT	SWN	Vec. scaling	Top 10%	Hard Labels	NA	97.64	4.00	1.96	7.14
MethylBERT	NNLS	None	Top 10%	Hard Labels	NA	96.77	4.55	2.68	16.71
MethylBERT	NNLS	Lin. clip+norm	Top 10%	Hard Labels	NA	97.78	4.14	1.85	10.11
MethylBERT	NNLS	Lin. simplex	Top 10%	Hard Labels	NA	97.96	3.47	1.69	10.21
MethylBERT	NNLS	Vec. scaling	Top 10%	Hard Labels	NA	97.21	4.46	2.31	12.87
MethylBERT	PSLS	None	Top 10%	Hard Labels	NA	96.57	4.30	2.85	17.29
MethylBERT	PSLS	Lin. clip+norm	Top 10%	Hard Labels	NA	97.82	4.11	1.81	10.28
MethylBERT	PSLS	Lin. simplex	Top 10%	Hard Labels	NA	98.07	3.49	1.61	10.23
MethylBERT	PSLS	Vec. scaling	Top 10%	Hard Labels	NA	97.23	4.47	2.30	9.80
Lookup Classifier	XGB	None	Top 10%	Hard Labels	NA	77.69	14.59	18.52	44.84
Lookup Classifier	XGB	Lin. clip+norm	Top 10%	Hard Labels	NA	82.97	11.80	14.13	56.67
Lookup Classifier	XGB	Lin. simplex	Top 10%	Hard Labels	NA	86.00	9.92	11.62	65.22
Lookup Classifier	XGB	Vec. scaling	Top 10%	Hard Labels	NA	86.96	10.62	10.82	37.08
Lookup Classifier	MLP	None	Top 10%	Hard Labels	NA	77.15	13.64	18.97	48.04
Lookup Classifier	MLP	Lin. clip+norm	Top 10%	Hard Labels	NA	82.85	11.94	14.23	57.26
Lookup Classifier	MLP	Lin. simplex	Top 10%	Hard Labels	NA	83.44	11.16	13.74	68.37
Lookup Classifier	MLP	Vec. scaling	Top 10%	Hard Labels	NA	81.77	12.57	15.13	43.51
Lookup Classifier	SWN	None	Top 10%	Hard Labels	NA	81.58	12.39	15.29	37.31
Lookup Classifier	SWN	Lin. clip+norm	Top 10%	Hard Labels	NA	88.08	9.78	9.89	42.10
Lookup Classifier	SWN	Lin. simplex	Top 10%	Hard Labels	NA	89.12	9.07	9.03	49.84
Lookup Classifier	SWN	Vec. scaling	Top 10%	Hard Labels	NA	87.92	10.14	10.03	31.25
Lookup Classifier	NNLS	None	Top 10%	Hard Labels	NA	81.46	14.24	15.39	55.69
Lookup Classifier	NNLS	Lin. clip+norm	Top 10%	Hard Labels	NA	87.57	11.17	10.31	49.64
Lookup Classifier	NNLS	Lin. simplex	Top 10%	Hard Labels	NA	90.33	8.82	8.03	51.97
Lookup Classifier	NNLS	Vec. scaling	Top 10%	Hard Labels	NA	89.74	9.53	8.51	44.10
Lookup Classifier	PSLS	None	Top 10%	Hard Labels	NA	81.55	14.23	15.31	55.40
Lookup Classifier	PSLS	Lin. clip+norm	Top 10%	Hard Labels	NA	87.70	11.15	10.21	49.24
Lookup Classifier	PSLS	Lin. simplex	Top 10%	Hard Labels	NA	90.46	8.77	7.91	51.39
Lookup Classifier	PSLS	Vec. scaling	Top 10%	Hard Labels	NA	86.92	10.78	10.86	42.09
Dismir	XGB	None	Diag. + Bckg.	Hard Labels	NA	96.40	4.39	2.99	8.48
Dismir	XGB	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	96.91	3.99	2.56	8.13
Dismir	XGB	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	97.50	3.52	2.08	8.52
Dismir	XGB	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	97.19	4.33	2.33	6.13
Dismir	MLP	None	Diag. + Bckg.	Hard Labels	NA	97.33	4.16	2.22	7.71
Dismir	MLP	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	97.39	4.13	2.17	10.03
Dismir	MLP	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	97.56	3.98	2.02	13.00
Dismir	MLP	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	97.43	4.24	2.13	7.64
Dismir	SWN	None	Diag. + Bckg.	Hard Labels	NA	96.96	3.79	2.52	6.67
