Classifier	Deconvolver	Calibrator	Feature Scheme	Labeling Scheme	Prior	R2	MAE	MSE	KL
Dismir	NNLS	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	97.81	4.04	1.81	7.20
Dismir	PSLS	None	NA	Data-Driven Soft-Labels (with pooling)	NA	97.85	3.61	1.79	8.80
Dismir	PSLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	98.21	3.46	1.49	7.72
Dismir	PSLS	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	98.59	3.09	1.17	7.77
Dismir	PSLS	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	97.62	4.08	1.98	7.39
MethylBERT	XGB	None	NA	Data-Driven Soft-Labels (with pooling)	NA	94.71	4.65	4.39	11.43
MethylBERT	XGB	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	95.14	4.71	4.04	11.77
MethylBERT	XGB	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	95.31	4.36	3.90	14.17
MethylBERT	XGB	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	95.26	5.03	3.93	9.44
MethylBERT	MLP	None	NA	Data-Driven Soft-Labels (with pooling)	NA	96.89	4.05	2.58	8.89
MethylBERT	MLP	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	97.32	3.89	2.23	10.41
MethylBERT	MLP	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	97.36	3.89	2.19	13.54
MethylBERT	MLP	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	97.52	3.89	2.06	7.95
MethylBERT	SWN	None	NA	Data-Driven Soft-Labels (with pooling)	NA	97.22	3.63	2.30	6.76
MethylBERT	SWN	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	97.76	3.48	1.86	7.01
MethylBERT	SWN	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	97.75	3.59	1.87	9.71
MethylBERT	SWN	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	97.63	3.81	1.97	6.10
MethylBERT	NNLS	None	NA	Data-Driven Soft-Labels (with pooling)	NA	97.84	3.77	1.79	9.60
MethylBERT	NNLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	98.08	3.53	1.60	8.12
MethylBERT	NNLS	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	98.44	3.12	1.29	8.15
MethylBERT	NNLS	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	97.70	4.13	1.91	7.65
MethylBERT	PSLS	None	NA	Data-Driven Soft-Labels (with pooling)	NA	97.87	3.63	1.77	9.26
MethylBERT	PSLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	98.19	3.47	1.50	7.54
MethylBERT	PSLS	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	98.51	3.16	1.24	8.34
MethylBERT	PSLS	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	97.66	4.06	1.94	7.69
Dismir	XGB	None	NA	Data-Driven Soft-Labels (without pooling)	NA	97.10	3.99	2.41	7.51
Dismir	XGB	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	97.42	3.66	2.14	7.48
Dismir	XGB	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	97.74	3.35	1.88	8.43
Dismir	XGB	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.12	4.24	2.39	6.11
Dismir	MLP	None	NA	Data-Driven Soft-Labels (without pooling)	NA	96.74	4.22	2.70	8.39
Dismir	MLP	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	97.05	4.08	2.45	9.97
Dismir	MLP	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	97.22	3.97	2.31	13.18
Dismir	MLP	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.51	3.95	2.06	7.36
Dismir	SWN	None	NA	Data-Driven Soft-Labels (without pooling)	NA	96.88	3.58	2.59	6.30
Dismir	SWN	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	97.39	3.49	2.16	6.97
Dismir	SWN	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	97.39	3.52	2.17	9.26
Dismir	SWN	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	96.89	3.81	2.58	6.04
Dismir	NNLS	None	NA	Data-Driven Soft-Labels (without pooling)	NA	97.67	3.88	1.93	9.27
Dismir	NNLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	98.16	3.57	1.53	7.21
Dismir	NNLS	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	98.57	3.10	1.19	6.94
Dismir	NNLS	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.73	4.15	1.88	6.96
Dismir	PSLS	None	NA	Data-Driven Soft-Labels (without pooling)	NA	97.60	3.74	1.99	9.04
Dismir	PSLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	98.12	3.61	1.56	7.41
Dismir	PSLS	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	98.53	3.20	1.22	7.05
Dismir	PSLS	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.16	4.42	2.36	7.50
MethylBERT	XGB	None	NA	Data-Driven Soft-Labels (without pooling)	NA	96.59	4.28	2.83	7.94
MethylBERT	XGB	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	95.06	5.01	4.10	11.46
MethylBERT	XGB	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	95.75	4.59	3.53	13.55
MethylBERT	XGB	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	96.13	4.92	3.22	7.60
MethylBERT	MLP	None	NA	Data-Driven Soft-Labels (without pooling)	NA	96.85	4.08	2.62	8.11
MethylBERT	MLP	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	97.20	3.99	2.33	10.25
MethylBERT	MLP	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	97.27	3.88	2.26	13.86
MethylBERT	MLP	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.20	4.12	2.32	7.73
MethylBERT	SWN	None	NA	Data-Driven Soft-Labels (without pooling)	NA	96.69	3.73	2.75	6.89
MethylBERT	SWN	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	97.64	3.67	1.96	7.96
MethylBERT	SWN	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	97.48	3.78	2.09	11.18
MethylBERT	SWN	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.56	3.86	2.03	6.31
MethylBERT	NNLS	None	NA	Data-Driven Soft-Labels (without pooling)	NA	97.49	4.07	2.09	11.05
MethylBERT	NNLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	98.03	3.76	1.63	8.33
MethylBERT	NNLS	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	98.45	3.16	1.29	8.06
MethylBERT	NNLS	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.61	4.23	1.99	8.39
MethylBERT	PSLS	None	NA	Data-Driven Soft-Labels (without pooling)	NA	97.61	3.79	1.99	10.20
MethylBERT	PSLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	98.12	3.61	1.56	7.41
MethylBERT	PSLS	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	98.53	3.20	1.22	7.05
MethylBERT	PSLS	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	97.16	4.42	2.36	7.50
Lookup Classifier	XGB	None	NA	Data-Driven Soft-Labels (without pooling)	NA	75.99	15.16	19.93	49.14
Lookup Classifier	XGB	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	83.56	10.93	13.64	35.16
Lookup Classifier	XGB	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	85.79	9.22	11.80	41.47
Lookup Classifier	XGB	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	86.58	10.25	11.14	27.77
Lookup Classifier	MLP	None	NA	Data-Driven Soft-Labels (without pooling)	NA	82.65	12.86	14.40	32.97
Lookup Classifier	MLP	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	87.01	9.99	10.78	26.98
Lookup Classifier	MLP	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	89.11	8.63	9.04	27.10
Lookup Classifier	MLP	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	90.30	8.30	8.05	19.56
Lookup Classifier	SWN	None	NA	Data-Driven Soft-Labels (without pooling)	NA	87.36	10.04	10.49	24.52
Lookup Classifier	SWN	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	90.66	7.63	7.76	20.28
Lookup Classifier	SWN	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	92.18	6.84	6.49	23.89
Lookup Classifier	SWN	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	92.21	7.30	6.47	16.42
Lookup Classifier	NNLS	None	NA	Data-Driven Soft-Labels (without pooling)	NA	85.43	13.10	12.09	35.13
Lookup Classifier	NNLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	91.46	8.09	7.09	21.28
Lookup Classifier	NNLS	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	94.12	5.77	4.88	16.85
Lookup Classifier	NNLS	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	93.08	7.49	5.75	15.76
Lookup Classifier	PSLS	None	NA	Data-Driven Soft-Labels (without pooling)	NA	85.32	13.07	12.18	35.23
Lookup Classifier	PSLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (without pooling)	NA	91.37	8.26	7.16	21.51
Lookup Classifier	PSLS	Lin. simplex	NA	Data-Driven Soft-Labels (without pooling)	NA	94.06	5.96	4.93	16.59
Lookup Classifier	PSLS	Vec. scaling	NA	Data-Driven Soft-Labels (without pooling)	NA	93.13	7.50	5.70	15.65
