	Classifier	Labeling Scheme	Prior	Feature Scheme	Deconvolver	Calibrator	method	method_key	pseudobulk_r2	tcs	tcs_per_sample	rank_pseudobulk	rank_tcs	avg_rank	rank_r2	rank_cosine_sim	rank_mse	rank_mae	rank_kl	rank_max_error	rank_loa_width	rank_worst_class_loa_width
263	lookup	soft_labels_with_pooling		top156	mlp	uncalibrated	lookup / soft_labels_with_pooling / top156 / mlp / uncalibrated	lookup|soft_labels_with_pooling||top156|mlp|uncalibrated	0.9603634759340336	0.6619605876682914	0.6561646151262929	294.0	176.0	235.0	294.0	288.0	294.0	297.0	222.0	229.0	294.0	295.0
265	methylbert	soft_labels_without_pooling		top156	xgb	vector_scaling	methylbert / soft_labels_without_pooling / top156 / xgb / vector_scaling	methylbert|soft_labels_without_pooling||top156|xgb|vector_scaling	0.9689747014178784	0.6395385968014501	0.6275996153846154	255.0	218.0	236.5	255.0	277.0	255.0	286.0	121.0	197.0	255.0	118.0
264	methylbert	hard_labels		top156	nnls	uncalibrated	methylbert / hard_labels / top156 / nnls / uncalibrated	methylbert|hard_labels||top156|nnls|uncalibrated	0.9780757772811238	0.4998085773693708	0.4852473076923077	166.0	307.0	236.5	166.0	135.0	166.0	191.0	266.0	80.0	166.0	176.0
266	methylbert	hard_labels		top156	swn	linear_simplex_projection	methylbert / hard_labels / top156 / swn / linear_simplex_projection	methylbert|hard_labels||top156|swn|linear_simplex_projection	0.9778862644352828	0.5011529936559359	0.4864788461538461	171.0	306.0	238.5	171.0	187.0	171.0	156.0	277.0	149.0	171.0	189.0
267	lookup	soft_labels_without_pooling		top156	psls	linear_clip_normalize	lookup / soft_labels_without_pooling / top156 / psls / linear_clip_normalize	lookup|soft_labels_without_pooling||top156|psls|linear_clip_normalize	0.938128688308277	0.6658477536026853	0.6622565384615384	316.0	162.0	239.0	316.0	297.0	316.0	320.0	311.0	291.0	316.0	305.0
269	methylbert	hard_labels		diagbckg	swn	linear_simplex_projection	methylbert / hard_labels / diagbckg / swn / linear_simplex_projection	methylbert|hard_labels||diagbckg|swn|linear_simplex_projection	0.977981732422728	0.4613700785677471	0.446786923076923	167.0	313.0	240.0	167.0	155.0	167.0	121.0	276.0	180.0	167.0	231.0
268	dismir	soft_labels_with_pooling		top156	mlp	uncalibrated	dismir / soft_labels_with_pooling / top156 / mlp / uncalibrated	dismir|soft_labels_with_pooling||top156|mlp|uncalibrated	0.9738926637300732	0.6070905904459072	0.5961846146737045	227.0	253.0	240.0	227.0	254.0	227.0	198.0	134.0	120.0	227.0	262.0
270	methylbert	canonical_soft_labels		top156	mlp	uncalibrated	methylbert / canonical_soft_labels / top156 / mlp / uncalibrated	methylbert|canonical_soft_labels||top156|mlp|uncalibrated	0.9758809406592552	0.5705586317752142	0.5610469232341039	205.0	276.0	240.5	205.0	237.0	205.0	224.0	174.0	200.0	205.0	75.0
271	methylbert	hard_labels		diagbckg	swn	linear_clip_normalize	methylbert / hard_labels / diagbckg / swn / linear_clip_normalize	methylbert|hard_labels||diagbckg|swn|linear_clip_normalize	0.9779296483279448	0.4621324812562306	0.447231923433747	170.0	312.0	241.0	170.0	153.0	170.0	139.0	211.0	139.0	170.0	222.0
272	lookup	soft_labels_with_pooling		top156	psls	uncalibrated	lookup / soft_labels_with_pooling / top156 / psls / uncalibrated	lookup|soft_labels_with_pooling||top156|psls|uncalibrated	0.9665390741541592	0.6381380629336383	0.6278984615384615	269.0	220.0	244.5	269.0	229.0	269.0	295.0	271.0	246.0	269.0	277.0
273	UXM U25					linear_simplex_projection	UXM U25 / linear_simplex_projection	uxm|||||linear_simplex_projection	0.967366249650194	0.6265511034927271	0.6204121629931422	262.0	233.0	247.5	262.0	249.0	262.0	267.0	283.0	267.0	262.0	301.0
274	Houseman_ineq					linear_simplex_projection	Houseman_ineq / linear_simplex_projection	epidish_houseman|||||linear_simplex_projection	0.9651151181673008	0.6399096425435296	0.6303221646751407	279.0	217.0	248.0	279.0	279.0	279.0	298.0	302.0	186.0	279.0	243.0
276	Celfie					uncalibrated	Celfie / uncalibrated	celfie|||||uncalibrated	0.9604952516010016	0.6446742406411757	0.6392938461538461	292.0	208.0	250.0	292.0	257.0	292.0	313.0	305.0	233.0	292.0	256.0
275	UXM U25					vector_scaling	UXM U25 / vector_scaling	uxm|||||vector_scaling	0.9633194016381504	0.6417531230582848	0.6312167182558482	286.0	214.0	250.0	286.0	293.0	286.0	304.0	239.0	189.0	286.0	266.0
277	methylbert	canonical_soft_labels		top156	xgb	vector_scaling	methylbert / canonical_soft_labels / top156 / xgb / vector_scaling	methylbert|canonical_soft_labels||top156|xgb|vector_scaling	0.972591482655737	0.5945965443418557	0.5744426923076923	237.0	264.0	250.5	237.0	221.0	237.0	259.0	107.0	238.0	237.0	96.0
278	lookup	soft_labels_with_pooling		top156	nnls	uncalibrated	lookup / soft_labels_with_pooling / top156 / nnls / uncalibrated	lookup|soft_labels_with_pooling||top156|nnls|uncalibrated	0.9651276466783032	0.6354084604713387	0.6261553846153847	278.0	224.0	251.0	278.0	230.0	278.0	300.0	275.0	250.0	278.0	282.0
279	methylbert	soft_labels_without_pooling		top156	xgb	linear_clip_normalize	methylbert / soft_labels_without_pooling / top156 / xgb / linear_clip_normalize	methylbert|soft_labels_without_pooling||top156|xgb|linear_clip_normalize	0.9685390083855158	0.607691531549722	0.5996769219814616	257.0	250.0	253.5	257.0	184.0	257.0	249.0	202.0	254.0	257.0	105.0
280	dismir	canonical_soft_labels		diagbckg	mlp	linear_simplex_projection	dismir / canonical_soft_labels / diagbckg / mlp / linear_simplex_projection	dismir|canonical_soft_labels||diagbckg|mlp|linear_simplex_projection	0.9666395546947624	0.6151875068741255	0.6158765384615386	268.0	240.0	254.0	268.0	284.0	268.0	274.0	297.0	287.0	268.0	286.0
281	methylbert	canonical_soft_labels		diagbckg	mlp	uncalibrated	methylbert / canonical_soft_labels / diagbckg / mlp / uncalibrated	methylbert|canonical_soft_labels||diagbckg|mlp|uncalibrated	0.9729967087335532	0.5700365980151525	0.5554996162869009	234.0	277.0	255.5	234.0	272.0	234.0	251.0	214.0	168.0	234.0	221.0
283	dismir	canonical_soft_labels		diagbckg	mlp	linear_clip_normalize	dismir / canonical_soft_labels / diagbckg / mlp / linear_clip_normalize	dismir|canonical_soft_labels||diagbckg|mlp|linear_clip_normalize	0.9663571243950934	0.6146119057585812	0.6153176928803216	271.0	241.0	256.0	271.0	285.0	271.0	272.0	257.0	305.0	271.0	293.0
282	dismir	canonical_soft_labels		diagbckg	mlp	vector_scaling	dismir / canonical_soft_labels / diagbckg / mlp / vector_scaling	dismir|canonical_soft_labels||diagbckg|mlp|vector_scaling	0.9664600836475592	0.6145438520406379	0.6154319230769231	270.0	242.0	256.0	270.0	298.0	270.0	280.0	179.0	295.0	270.0	289.0
284	methylbert	hard_labels		top156	swn	uncalibrated	methylbert / hard_labels / top156 / swn / uncalibrated	methylbert|hard_labels||top156|swn|uncalibrated	0.9755312772385376	0.4814953218227876	0.4670915386323589	209.0	308.0	258.5	209.0	242.0	209.0	190.0	151.0	158.0	209.0	217.0
285	dismir	canonical_soft_labels		top156	swn	uncalibrated	dismir / canonical_soft_labels / top156 / swn / uncalibrated	dismir|canonical_soft_labels||top156|swn|uncalibrated	0.9652453358254092	0.6080887649293569	0.5910473073591462	277.0	249.0	263.0	277.0	295.0	277.0	258.0	138.0	296.0	277.0	264.0
287	lookup	soft_labels_without_pooling		top156	mlp	uncalibrated	lookup / soft_labels_without_pooling / top156 / mlp / uncalibrated	lookup|soft_labels_without_pooling||top156|mlp|uncalibrated	0.8409997371157384	0.6641894945255695	0.6605730768818409	361.0	167.0	264.0	361.0	361.0	361.0	365.0	330.0	360.0	361.0	320.0
286	methylbert	canonical_soft_labels		top156	xgb	linear_simplex_projection	methylbert / canonical_soft_labels / top156 / xgb / linear_simplex_projection	methylbert|canonical_soft_labels||top156|xgb|linear_simplex_projection	0.9703886935156716	0.5642672622734144	0.5488476923076924	248.0	280.0	264.0	248.0	119.0	248.0	152.0	268.0	264.0	248.0	167.0
289	dismir	canonical_soft_labels		diagbckg	mlp	uncalibrated	dismir / canonical_soft_labels / diagbckg / mlp / uncalibrated	dismir|canonical_soft_labels||diagbckg|mlp|uncalibrated	0.9621696454389692	0.6139561667113757	0.6145342311519646	287.0	243.0	265.0	287.0	300.0	287.0	276.0	217.0	332.0	287.0	306.0
288	dismir	canonical_soft_labels		top156	swn	linear_clip_normalize	dismir / canonical_soft_labels / top156 / swn / linear_clip_normalize	dismir|canonical_soft_labels||top156|swn|linear_clip_normalize	0.96577874946369	0.6066642603723118	0.5896719225326353	275.0	255.0	265.0	275.0	296.0	275.0	270.0	184.0	293.0	275.0	259.0
291	methylbert	hard_labels		top156	mlp	vector_scaling	methylbert / hard_labels / top156 / mlp / vector_scaling	methylbert|hard_labels||top156|mlp|vector_scaling	0.9698828525476826	0.5652314493476237	0.5471346153846154	253.0	278.0	265.5	253.0	276.0	253.0	260.0	207.0	338.0	253.0	166.0
290	methylbert	hard_labels		top156	mlp	linear_simplex_projection	methylbert / hard_labels / top156 / mlp / linear_simplex_projection	methylbert|hard_labels||top156|mlp|linear_simplex_projection	0.9699969771540696	0.5544184801574378	0.5377526923076923	250.0	281.0	265.5	250.0	268.0	250.0	248.0	301.0	358.0	250.0	187.0
293	lookup	soft_labels_with_pooling		top156	xgb	vector_scaling	lookup / soft_labels_with_pooling / top156 / xgb / vector_scaling	lookup|soft_labels_with_pooling||top156|xgb|vector_scaling	0.932182422522156	0.6433044434873	0.6380323076923077	320.0	212.0	266.0	320.0	322.0	320.0	314.0	304.0	306.0	320.0	341.0
292	EpiDISH					linear_simplex_projection	EpiDISH / linear_simplex_projection	epidish|||||linear_simplex_projection	0.9590153577112728	0.6269257752759789	0.616272243521738	300.0	232.0	266.0	300.0	282.0	300.0	302.0	300.0	240.0	300.0	258.0
294	methylbert	hard_labels		top156	mlp	linear_clip_normalize	methylbert / hard_labels / top156 / mlp / linear_clip_normalize	methylbert|hard_labels||top156|mlp|linear_clip_normalize	0.9699546224660262	0.546093409721603	0.5292338457654223	251.0	284.0	267.5	251.0	270.0	251.0	256.0	278.0	330.0	251.0	175.0
296	methylbert	hard_labels		diagbckg	mlp	vector_scaling	methylbert / hard_labels / diagbckg / mlp / vector_scaling	methylbert|hard_labels||diagbckg|mlp|vector_scaling	0.9739292093097068	0.4652141601552911	0.4446792307692307	226.0	311.0	268.5	226.0	274.0	226.0	266.0	213.0	86.0	226.0	197.0
295	methylbert	hard_labels		diagbckg	mlp	linear_clip_normalize	methylbert / hard_labels / diagbckg / mlp / linear_clip_normalize	methylbert|hard_labels||diagbckg|mlp|linear_clip_normalize	0.9743337537554744	0.450403168080724	0.4306915385594876	221.0	316.0	268.5	221.0	265.0	221.0	265.0	282.0	89.0	221.0	211.0
297	Houseman_ineq					linear_clip_normalize	Houseman_ineq / linear_clip_normalize	epidish_houseman|||||linear_clip_normalize	0.9417614896048736	0.6321711977115294	0.6233199791451681	313.0	226.0	269.5	313.0	302.0	313.0	321.0	314.0	266.0	313.0	276.0
298	dismir	canonical_soft_labels		top156	swn	linear_simplex_projection	dismir / canonical_soft_labels / top156 / swn / linear_simplex_projection	dismir|canonical_soft_labels||top156|swn|linear_simplex_projection	0.9640203230325212	0.6054279514695621	0.588445	283.0	257.0	270.0	283.0	299.0	283.0	281.0	267.0	294.0	283.0	270.0
299	methylbert	hard_labels		diagbckg	swn	uncalibrated	methylbert / hard_labels / diagbckg / swn / uncalibrated	methylbert|hard_labels||diagbckg|swn|uncalibrated	0.974431385821913	0.4449634686013121	0.4304638460828683	219.0	322.0	270.5	219.0	218.0	219.0	185.0	155.0	108.0	219.0	245.0
300	UXM U25					linear_clip_normalize	UXM U25 / linear_clip_normalize	uxm|||||linear_clip_normalize	0.9590530619146902	0.6116008213750364	0.6054074577157224	299.0	246.0	272.5	299.0	261.0	299.0	305.0	299.0	282.0	299.0	303.0
301	lookup	soft_labels_with_pooling		top156	xgb	linear_simplex_projection	lookup / soft_labels_with_pooling / top156 / xgb / linear_simplex_projection	lookup|soft_labels_with_pooling||top156|xgb|linear_simplex_projection	0.9331307497608928	0.6314427305638436	0.6281661538461538	319.0	227.0	273.0	319.0	319.0	319.0	307.0	323.0	316.0	319.0	342.0
302	methylbert	hard_labels		diagbckg	mlp	linear_simplex_projection	methylbert / hard_labels / diagbckg / mlp / linear_simplex_projection	methylbert|hard_labels||diagbckg|mlp|linear_simplex_projection	0.9736184238960672	0.4488562869686171	0.4295580769230769	230.0	318.0	274.0	230.0	263.0	230.0	264.0	303.0	125.0	230.0	239.0
303	dismir	canonical_soft_labels		top156	swn	vector_scaling	dismir / canonical_soft_labels / top156 / swn / vector_scaling	dismir|canonical_soft_labels||top156|swn|vector_scaling	0.957874685396496	0.6074393681117423	0.590143076923077	301.0	251.0	276.0	301.0	308.0	301.0	287.0	148.0	297.0	301.0	296.0
305	lookup	soft_labels_without_pooling		top156	xgb	linear_simplex_projection	lookup / soft_labels_without_pooling / top156 / xgb / linear_simplex_projection	lookup|soft_labels_without_pooling||top156|xgb|linear_simplex_projection	0.8796663231699264	0.6484911315851813	0.6507634615384617	352.0	203.0	277.5	352.0	352.0	352.0	334.0	343.0	369.0	352.0	364.0
304	methylbert	soft_labels_without_pooling		top156	xgb	uncalibrated	methylbert / soft_labels_without_pooling / top156 / xgb / uncalibrated	methylbert|soft_labels_without_pooling||top156|xgb|uncalibrated	0.9597957324967314	0.6018319412308407	0.5933469246617346	295.0	260.0	277.5	295.0	255.0	295.0	289.0	245.0	262.0	295.0	251.0
306	methylbert	hard_labels		top156	mlp	uncalibrated	methylbert / hard_labels / top156 / mlp / uncalibrated	methylbert|hard_labels||top156|mlp|uncalibrated	0.9668630626011409	0.5308943481890962	0.514255768959125	266.0	290.0	278.0	266.0	281.0	266.0	263.0	252.0	321.0	266.0	206.0
307	lookup	soft_labels_with_pooling		top156	xgb	linear_clip_normalize	lookup / soft_labels_with_pooling / top156 / xgb / linear_clip_normalize	lookup|soft_labels_with_pooling||top156|xgb|linear_clip_normalize	0.9246752057855526	0.6157992669133736	0.6096938466279913	323.0	239.0	281.0	323.0	320.0	323.0	311.0	316.0	313.0	323.0	348.0
308	Houseman_ineq					uncalibrated	Houseman_ineq / uncalibrated	epidish_houseman|||||uncalibrated	0.9094137280725918	0.6304023096670268	0.6214461538461539	335.0	229.0	282.0	335.0	323.0	335.0	342.0	322.0	351.0	335.0	326.0
309	methylbert	canonical_soft_labels		top156	xgb	linear_clip_normalize	methylbert / canonical_soft_labels / top156 / xgb / linear_clip_normalize	methylbert|canonical_soft_labels||top156|xgb|linear_clip_normalize	0.9637393676071628	0.5516187318892062	0.5365261546867817	284.0	282.0	283.0	284.0	144.0	284.0	250.0	234.0	275.0	284.0	202.0
311	UXM U25					uncalibrated	UXM U25 / uncalibrated	uxm|||||uncalibrated	0.9485689943195332	0.6027893917256765	0.5969885984615384	310.0	259.0	284.5	310.0	289.0	310.0	316.0	307.0	284.0	310.0	307.0
310	lookup	soft_labels_with_pooling		top156	xgb	uncalibrated	lookup / soft_labels_with_pooling / top156 / xgb / uncalibrated	lookup|soft_labels_with_pooling||top156|xgb|uncalibrated	0.9065176417458268	0.6271225268187544	0.6192869235819949	338.0	231.0	284.5	338.0	327.0	338.0	323.0	317.0	328.0	338.0	350.0
312	EpiDISH					linear_clip_normalize	EpiDISH / linear_clip_normalize	epidish|||||linear_clip_normalize	0.9352763357183804	0.6067134594072809	0.5964518955549513	317.0	254.0	285.5	317.0	304.0	317.0	322.0	313.0	280.0	317.0	288.0
313	methylbert	hard_labels		diagbckg	xgb	vector_scaling	methylbert / hard_labels / diagbckg / xgb / vector_scaling	methylbert|hard_labels||diagbckg|xgb|vector_scaling	0.9712825750616068	0.4101924907702685	0.4020115384615384	244.0	329.0	286.5	244.0	227.0	244.0	275.0	149.0	181.0	244.0	134.0
314	lookup	soft_labels_without_pooling		top156	nnls	uncalibrated	lookup / soft_labels_without_pooling / top156 / nnls / uncalibrated	lookup|soft_labels_without_pooling||top156|nnls|uncalibrated	0.8750529039775802	0.6372055863646	0.6330842307692308	354.0	222.0	288.0	354.0	331.0	354.0	366.0	332.0	335.0	354.0	321.0
315	methylbert	hard_labels		diagbckg	mlp	uncalibrated	methylbert / hard_labels / diagbckg / mlp / uncalibrated	methylbert|hard_labels||diagbckg|mlp|uncalibrated	0.968574464223038	0.4277754971693899	0.4090153848354719	256.0	324.0	290.0	256.0	290.0	256.0	277.0	255.0	141.0	256.0	257.0
316	methylbert	canonical_soft_labels		diagbckg	xgb	vector_scaling	methylbert / canonical_soft_labels / diagbckg / xgb / vector_scaling	methylbert|canonical_soft_labels||diagbckg|xgb|vector_scaling	0.9708792505796828	0.3999214033112846	0.3955946153846154	246.0	336.0	291.0	246.0	234.0	246.0	269.0	137.0	218.0	246.0	150.0
317	lookup	soft_labels_without_pooling		top156	psls	uncalibrated	lookup / soft_labels_without_pooling / top156 / psls / uncalibrated	lookup|soft_labels_without_pooling||top156|psls|uncalibrated	0.8686408689093172	0.6250425270949951	0.62009	355.0	235.0	295.0	355.0	338.0	355.0	367.0	334.0	334.0	355.0	323.0
318	methylbert	canonical_soft_labels		top156	xgb	uncalibrated	methylbert / canonical_soft_labels / top156 / xgb / uncalibrated	methylbert|canonical_soft_labels||top156|xgb|uncalibrated	0.9570957295949182	0.5320471212005247	0.5178669232161504	302.0	289.0	295.5	302.0	181.0	302.0	290.0	249.0	286.0	302.0	223.0
319	methylbert	canonical_soft_labels		diagbckg	xgb	linear_simplex_projection	methylbert / canonical_soft_labels / diagbckg / xgb / linear_simplex_projection	methylbert|canonical_soft_labels||diagbckg|xgb|linear_simplex_projection	0.9675291793775014	0.3910486322695971	0.3890530769230769	261.0	337.0	299.0	261.0	149.0	261.0	186.0	279.0	258.0	261.0	219.0
320	methylbert	hard_labels		diagbckg	xgb	linear_simplex_projection	methylbert / hard_labels / diagbckg / xgb / linear_simplex_projection	methylbert|hard_labels||diagbckg|xgb|linear_simplex_projection	0.9670126880268468	0.3891316931191492	0.38339	265.0	338.0	301.5	265.0	147.0	265.0	196.0	292.0	281.0	265.0	224.0
321	lookup	soft_labels_without_pooling		top156	xgb	linear_clip_normalize	lookup / soft_labels_without_pooling / top156 / xgb / linear_clip_normalize	lookup|soft_labels_without_pooling||top156|xgb|linear_clip_normalize	0.8534603757033044	0.6131810606586569	0.6115223085216431	360.0	244.0	302.0	360.0	355.0	360.0	356.0	339.0	368.0	360.0	365.0
322	EpiDISH					uncalibrated	EpiDISH / uncalibrated	epidish|||||uncalibrated	0.8941107302433711	0.5918250876959514	0.5821900000000001	339.0	266.0	302.5	339.0	325.0	339.0	355.0	329.0	359.0	339.0	338.0
323	dismir	canonical_soft_labels		diagbckg	swn	uncalibrated	dismir / canonical_soft_labels / diagbckg / swn / uncalibrated	dismir|canonical_soft_labels||diagbckg|swn|uncalibrated	0.9480508723394572	0.5229086376321633	0.5024100011783256	311.0	294.0	302.5	311.0	312.0	311.0	284.0	203.0	314.0	311.0	311.0
324	dismir	canonical_soft_labels		diagbckg	swn	linear_clip_normalize	dismir / canonical_soft_labels / diagbckg / swn / linear_clip_normalize	dismir|canonical_soft_labels||diagbckg|swn|linear_clip_normalize	0.9458205870149896	0.5217287694369206	0.5012507686845659	312.0	295.0	303.5	312.0	316.0	312.0	292.0	246.0	307.0	312.0	322.0
325	dismir	canonical_soft_labels		diagbckg	swn	linear_simplex_projection	dismir / canonical_soft_labels / diagbckg / swn / linear_simplex_projection	dismir|canonical_soft_labels||diagbckg|swn|linear_simplex_projection	0.9399810894591596	0.5212060992138198	0.5006419230769231	315.0	297.0	306.0	315.0	317.0	315.0	299.0	308.0	310.0	315.0	345.0
326	dismir	canonical_soft_labels		diagbckg	swn	vector_scaling	dismir / canonical_soft_labels / diagbckg / swn / vector_scaling	dismir|canonical_soft_labels||diagbckg|swn|vector_scaling	0.9310125210617738	0.5181306009983713	0.4975407692307692	321.0	300.0	310.5	321.0	321.0	321.0	303.0	237.0	308.0	321.0	362.0
328	lookup	soft_labels_without_pooling		top156	xgb	uncalibrated	lookup / soft_labels_without_pooling / top156 / xgb / uncalibrated	lookup|soft_labels_without_pooling||top156|xgb|uncalibrated	0.7678299299431279	0.6058001510281782	0.600846154190087	374.0	256.0	315.0	374.0	374.0	374.0	376.0	364.0	366.0	374.0	363.0
327	methylbert	canonical_soft_labels		diagbckg	xgb	linear_clip_normalize	methylbert / canonical_soft_labels / diagbckg / xgb / linear_clip_normalize	methylbert|canonical_soft_labels||diagbckg|xgb|linear_clip_normalize	0.9606797422256704	0.3864512762764024	0.3846700000606336	290.0	340.0	315.0	290.0	170.0	290.0	257.0	256.0	271.0	290.0	230.0
329	methylbert	hard_labels		diagbckg	xgb	linear_clip_normalize	methylbert / hard_labels / diagbckg / xgb / linear_clip_normalize	methylbert|hard_labels||diagbckg|xgb|linear_clip_normalize	0.9604738854238608	0.3877439886763038	0.38196230775544	293.0	339.0	316.0	293.0	165.0	293.0	261.0	265.0	285.0	293.0	227.0
330	methylbert	canonical_soft_labels		diagbckg	xgb	uncalibrated	methylbert / canonical_soft_labels / diagbckg / xgb / uncalibrated	methylbert|canonical_soft_labels||diagbckg|xgb|uncalibrated	0.9536876293599952	0.371974133574143	0.370538461730673	304.0	341.0	322.5	304.0	206.0	304.0	294.0	263.0	283.0	304.0	248.0
331	methylbert	hard_labels		top156	xgb	linear_simplex_projection	methylbert / hard_labels / top156 / xgb / linear_simplex_projection	methylbert|hard_labels||top156|xgb|linear_simplex_projection	0.9650535763217486	0.2597621935824358	0.2516226923076923	281.0	366.0	323.5	281.0	245.0	281.0	229.0	291.0	263.0	281.0	250.0
332	methylbert	hard_labels		diagbckg	xgb	uncalibrated	methylbert / hard_labels / diagbckg / xgb / uncalibrated	methylbert|hard_labels||diagbckg|xgb|uncalibrated	0.9526444092266148	0.3693956272872996	0.3640176924646274	305.0	344.0	324.5	305.0	205.0	305.0	296.0	269.0	301.0	305.0	244.0
333	methylbert	hard_labels		top156	xgb	vector_scaling	methylbert / hard_labels / top156 / xgb / vector_scaling	methylbert|hard_labels||top156|xgb|vector_scaling	0.9651140342271116	0.2513426140726231	0.2435623076923077	280.0	369.0	324.5	280.0	283.0	280.0	293.0	186.0	159.0	280.0	207.0
334	lookup	hard_labels		diagbckg	xgb	vector_scaling	lookup / hard_labels / diagbckg / xgb / vector_scaling	lookup|hard_labels||diagbckg|xgb|vector_scaling	0.8925124059755473	0.4469939461691248	0.4132503846153846	342.5	320.5	331.5	342.5	350.5	342.5	344.5	336.5	276.5	342.5	309.5
335	lookup	hard_labels		top156	xgb	vector_scaling	lookup / hard_labels / top156 / xgb / vector_scaling	lookup|hard_labels||top156|xgb|vector_scaling	0.8925124059755473	0.4469939461691248	0.4132503846153846	342.5	320.5	331.5	342.5	350.5	342.5	344.5	336.5	276.5	342.5	309.5
336	methylbert	hard_labels		top156	xgb	linear_clip_normalize	methylbert / hard_labels / top156 / xgb / linear_clip_normalize	methylbert|hard_labels||top156|xgb|linear_clip_normalize	0.959451287891978	0.2595239876586996	0.2516065387879417	297.0	367.0	332.0	297.0	248.0	297.0	273.0	264.0	269.0	297.0	252.0
337	lookup	hard_labels		top156	nnls	vector_scaling	lookup / hard_labels / top156 / nnls / vector_scaling	lookup|hard_labels||top156|nnls|vector_scaling	0.909666141585115	0.3701972573215738	0.3390626923076923	332.0	342.5	337.25	332.0	353.5	332.5	340.5	350.0	289.5	332.5	331.5
338	methylbert	hard_labels		top156	xgb	uncalibrated	methylbert / hard_labels / top156 / xgb / uncalibrated	methylbert|hard_labels||top156|xgb|uncalibrated	0.9509967595028496	0.2564788166288729	0.2482457695627367	307.0	368.0	337.5	307.0	271.0	307.0	301.0	270.0	274.0	307.0	255.0
339	lookup	hard_labels		diagbckg	nnls	vector_scaling	lookup / hard_labels / diagbckg / nnls / vector_scaling	lookup|hard_labels||diagbckg|nnls|vector_scaling	0.9096661415851148	0.3701972573215738	0.3390626923076923	333.0	342.5	337.75	333.0	353.5	332.5	340.5	349.0	289.5	332.5	331.5
340	lookup	hard_labels		diagbckg	psls	vector_scaling	lookup / hard_labels / diagbckg / psls / vector_scaling	lookup|hard_labels||diagbckg|psls|vector_scaling	0.8802284387166424	0.4208791496810208	0.3865192307692308	351.0	327.0	339.0	351.0	357.0	351.0	351.0	345.0	362.0	351.0	357.0
342	lookup	hard_labels		top156	psls	vector_scaling	lookup / hard_labels / top156 / psls / vector_scaling	lookup|hard_labels||top156|psls|vector_scaling	0.8783830690358302	0.4212292755807151	0.3868642307692307	353.0	326.0	339.5	353.0	358.0	353.0	354.0	344.0	361.0	353.0	358.0
341	lookup	hard_labels		top156	xgb	linear_simplex_projection	lookup / hard_labels / top156 / xgb / linear_simplex_projection	lookup|hard_labels||top156|xgb|linear_simplex_projection	0.8846094574455851	0.4056290229272045	0.3766507692307693	348.5	330.5	339.5	348.5	345.5	348.5	337.5	372.5	298.5	348.5	318.5
343	lookup	hard_labels		diagbckg	xgb	linear_simplex_projection	lookup / hard_labels / diagbckg / xgb / linear_simplex_projection	lookup|hard_labels||diagbckg|xgb|linear_simplex_projection	0.8846094574455851	0.4056290229272045	0.3766507692307693	348.5	330.5	339.5	348.5	345.5	348.5	337.5	372.5	298.5	348.5	318.5
344	lookup	hard_labels		top156	nnls	linear_simplex_projection	lookup / hard_labels / top156 / nnls / linear_simplex_projection	lookup|hard_labels||top156|nnls|linear_simplex_projection	0.9137927709408136	0.3393738347729674	0.3138676923076923	328.5	351.5	340.0	328.5	336.5	328.5	329.5	360.0	348.0	328.5	353.5
345	lookup	hard_labels		diagbckg	nnls	linear_simplex_projection	lookup / hard_labels / diagbckg / nnls / linear_simplex_projection	lookup|hard_labels||diagbckg|nnls|linear_simplex_projection	0.9137927709408136	0.3393738347729674	0.3138676923076923	328.5	351.5	340.0	328.5	336.5	328.5	329.5	361.0	347.0	328.5	353.5
346	lookup	hard_labels		diagbckg	swn	linear_simplex_projection	lookup / hard_labels / diagbckg / swn / linear_simplex_projection	lookup|hard_labels||diagbckg|swn|linear_simplex_projection	0.9152336786096188	0.3297576482116188	0.3168769230769231	325.0	355.0	340.0	325.0	332.0	325.0	331.0	351.0	322.0	325.0	340.0
347	lookup	hard_labels		top156	psls	linear_simplex_projection	lookup / hard_labels / top156 / psls / linear_simplex_projection	lookup|hard_labels||top156|psls|linear_simplex_projection	0.9140081859475322	0.3297150848849868	0.3034738461538461	326.0	356.5	341.25	326.0	334.0	326.0	327.0	359.0	345.0	326.0	351.0
348	lookup	hard_labels		diagbckg	psls	linear_simplex_projection	lookup / hard_labels / diagbckg / psls / linear_simplex_projection	lookup|hard_labels||diagbckg|psls|linear_simplex_projection	0.9140081760528534	0.3297150848849868	0.3034738461538461	327.0	356.5	341.75	327.0	335.0	327.0	328.0	358.0	344.0	327.0	352.0
349	lookup	hard_labels		top156	swn	linear_simplex_projection	lookup / hard_labels / top156 / swn / linear_simplex_projection	lookup|hard_labels||top156|swn|linear_simplex_projection	0.91556275921001	0.309568328492628	0.2940630769230769	324.0	363.0	343.5	324.0	329.0	324.0	326.0	356.0	327.0	324.0	339.0
350	lookup	hard_labels		diagbckg	xgb	linear_clip_normalize	lookup / hard_labels / diagbckg / xgb / linear_clip_normalize	lookup|hard_labels||diagbckg|xgb|linear_clip_normalize	0.8676419140099911	0.4025270496942212	0.3741453842146606	356.5	332.5	344.5	356.5	348.5	356.5	352.5	362.5	319.5	356.5	316.5
