	Classifier	Labeling Scheme	Prior	Feature Scheme	Deconvolver	Calibrator	method	method_key	pseudobulk_r2	tcs	tcs_per_sample	rank_pseudobulk	rank_tcs	avg_rank	rank_r2	rank_cosine_sim	rank_mse	rank_mae	rank_kl	rank_max_error	rank_loa_width	rank_worst_class_loa_width
202	dismir	hard_labels		top156	psls	vector_scaling	dismir / hard_labels / top156 / psls / vector_scaling	dismir|hard_labels||top156|psls|vector_scaling	0.9769892011319914	0.6569162255080523	0.6406711538461538	189.0	186.0	187.5	189.0	219.0	189.0	223.0	103.0	230.0	189.0	238.0
203	dismir	soft_labels_with_pooling		top156	mlp	linear_simplex_projection	dismir / soft_labels_with_pooling / top156 / mlp / linear_simplex_projection	dismir|soft_labels_with_pooling||top156|mlp|linear_simplex_projection	0.9800247876688608	0.60825405747595	0.5973296153846154	128.0	248.0	188.0	128.0	164.0	128.0	100.0	230.0	66.0	128.0	241.0
204	methylbert	canonical_soft_labels		top156	psls	uncalibrated	methylbert / canonical_soft_labels / top156 / psls / uncalibrated	methylbert|canonical_soft_labels||top156|psls|uncalibrated	0.9806352449425548	0.6001455852152049	0.5872961538461539	115.0	262.0	188.5	115.0	101.0	115.0	135.0	197.0	103.0	115.0	101.0
205	methylbert	hard_labels		diagbckg	nnls	linear_clip_normalize	methylbert / hard_labels / diagbckg / nnls / linear_clip_normalize	methylbert|hard_labels||diagbckg|nnls|linear_clip_normalize	0.9832349444923149	0.4575889162012269	0.4373357692307691	63.0	315.0	189.0	63.0	65.0	63.0	107.0	193.0	72.0	63.0	86.0
206	dismir	canonical_soft_labels		top156	psls	linear_simplex_projection	dismir / canonical_soft_labels / top156 / psls / linear_simplex_projection	dismir|canonical_soft_labels||top156|psls|linear_simplex_projection	0.9701678430619062	0.67141744073675	0.6580207692307692	249.0	130.0	189.5	249.0	275.0	249.0	177.0	273.0	352.0	249.0	325.0
207	methylbert	soft_labels_without_pooling		top156	mlp	linear_clip_normalize	methylbert / soft_labels_without_pooling / top156 / mlp / linear_clip_normalize	methylbert|soft_labels_without_pooling||top156|mlp|linear_clip_normalize	0.9775426767887564	0.6462589820468704	0.6402615392217947	175.0	207.0	191.0	175.0	202.0	175.0	202.0	224.0	208.0	175.0	170.0
209	dismir	canonical_soft_labels		top156	xgb	uncalibrated	dismir / canonical_soft_labels / top156 / xgb / uncalibrated	dismir|canonical_soft_labels||top156|xgb|uncalibrated	0.971473023732558	0.669548074694182	0.658915000892515	242.0	142.0	192.0	242.0	136.0	242.0	220.0	118.0	219.0	242.0	188.0
208	dismir	hard_labels		diagbckg	mlp	vector_scaling	dismir / hard_labels / diagbckg / mlp / vector_scaling	dismir|hard_labels||diagbckg|mlp|vector_scaling	0.9729894605266352	0.6686894454168397	0.6595503846153846	235.0	149.0	192.0	235.0	273.0	235.0	252.0	141.0	151.0	235.0	263.0
211	dismir	hard_labels		diagbckg	mlp	linear_clip_normalize	dismir / hard_labels / diagbckg / mlp / linear_clip_normalize	dismir|hard_labels||diagbckg|mlp|linear_clip_normalize	0.9720908851258636	0.6689439615491678	0.6595292310106181	240.0	147.0	193.5	240.0	267.0	240.0	244.0	231.0	162.0	240.0	272.0
210	dismir	canonical_soft_labels		top156	mlp	uncalibrated	dismir / canonical_soft_labels / top156 / mlp / uncalibrated	dismir|canonical_soft_labels||top156|mlp|uncalibrated	0.9749282491426136	0.6628058993025691	0.6515134612351874	215.0	172.0	193.5	215.0	238.0	215.0	162.0	73.0	265.0	215.0	229.0
212	methylbert	canonical_soft_labels		top156	swn	uncalibrated	methylbert / canonical_soft_labels / top156 / swn / uncalibrated	methylbert|canonical_soft_labels||top156|swn|uncalibrated	0.979014247182445	0.6230758030459741	0.6079392308843893	153.0	236.0	194.5	153.0	192.0	153.0	175.0	102.0	109.0	153.0	106.0
213	methylbert	canonical_soft_labels		diagbckg	nnls	uncalibrated	methylbert / canonical_soft_labels / diagbckg / nnls / uncalibrated	methylbert|canonical_soft_labels||diagbckg|nnls|uncalibrated	0.981195459624431	0.5434517364670225	0.5301061538461539	105.0	286.0	195.5	105.0	93.0	105.0	129.0	223.0	31.0	105.0	71.0
