JobID|JobIDRaw|JobName|User|Account|Partition|State|Submit|Start|End|Elapsed|ElapsedRaw|Timelimit|NNodes|NodeList|NCPUS|ReqMem|MaxRSS|AllocTRES|ReqTRES|TotalCPU|CPUTimeRAW|ExitCode
59154857_0|59155200|deconvolutionfittng|vsc37069|lccbe|gpu_v100|COMPLETED|2026-04-24T15:50:33|2026-04-24T21:58:01|2026-04-25T01:08:33|03:10:32|11432|08:00:00|1|r24g09|9|21000M||billing=101,cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=189000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=21000M,node=1|04:24:37|102888|0:0
59154857_0.batch|59155200.batch|batch||lccbe||COMPLETED|2026-04-24T21:58:01|2026-04-24T21:58:01|2026-04-25T01:08:33|03:10:32|11432||1|r24g09|9||12343.34M|cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=189000M,node=1||04:24:37|102888|0:0
59154857_0.extern|59155200.extern|extern||lccbe||COMPLETED|2026-04-24T21:58:01|2026-04-24T21:58:01|2026-04-25T01:08:33|03:10:32|11432||1|r24g09|9|||billing=101,cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=189000M,node=1||00:00:00|102888|0:0
59159423_0|59159424|deconvolutionfittng|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-27T09:21:54|2026-04-27T09:21:55|2026-04-27T12:14:07|02:52:12|10332|08:00:00|1|r24g37|18|5000M||billing=125,cpu=18,gres/gpu:tesla=1,gres/gpu=1,mem=90000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=5000M,node=1|05:16:36|185976|0:0
59159423_0.batch|59159424.batch|batch||lccbe||COMPLETED|2026-04-27T09:21:55|2026-04-27T09:21:55|2026-04-27T12:14:07|02:52:12|10332||1|r24g37|18||12389.55M|cpu=18,gres/gpu:tesla=1,gres/gpu=1,mem=90000M,node=1||05:16:36|185976|0:0
59159423_0.extern|59159424.extern|extern||lccbe||COMPLETED|2026-04-27T09:21:55|2026-04-27T09:21:55|2026-04-27T12:14:07|02:52:12|10332||1|r24g37|18|||billing=125,cpu=18,gres/gpu:tesla=1,gres/gpu=1,mem=90000M,node=1||00:00:00|185976|0:0
59159450_0|59159451|deconvolutionfittng|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-27T09:40:33|2026-04-27T09:40:36|2026-04-27T11:48:58|02:08:22|7702|08:00:00|1|r24g38|9|5000M||billing=83,cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=45000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=5000M,node=1|03:45:45|69318|0:0
59159450_0.batch|59159451.batch|batch||lccbe||COMPLETED|2026-04-27T09:40:36|2026-04-27T09:40:36|2026-04-27T11:48:58|02:08:22|7702||1|r24g38|9||11696.32M|cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=45000M,node=1||03:45:45|69318|0:0
59159450_0.extern|59159451.extern|extern||lccbe||COMPLETED|2026-04-27T09:40:36|2026-04-27T09:40:36|2026-04-27T11:48:59|02:08:23|7703||1|r24g38|9|||billing=83,cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=45000M,node=1||00:00:00|69327|0:0
59159450_1|59159450|deconvolutionfittng|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-27T09:40:33|2026-04-27T09:40:36|2026-04-27T10:41:46|01:01:10|3670|08:00:00|1|r24g38|9|5000M||billing=83,cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=45000M,node=1|billing=4,cpu=1,gres/gpu=1,mem=5000M,node=1|05:15:55|33030|0:0
